modelo;precio;año;kilometraje;color;pais
Model X;113820;2024;33;gris;España
Model S;116660;2024;20;gris;España
Model 3;35900;2021;40421;blanco;Portugal
Model Y;41475;2025;0;blanco;Portugal
Model Y;42555;2025;5;blanco;Portugal
Model Y;42600;2022;35338;blanco;Portugal
Model Y;42605;2024;3749;blanco;Portugal
Model Y;42700;2022;54383;blanco;Portugal
Model Y;43800;2022;31967;blanco;Portugal
Model Y;43800;2022;32157;blanco;Portugal
Model Y;45600;2022;28496;blanco;Portugal
Model Y;45600;2022;28755;blanco;Portugal
Model 3;45975;2025;10;blanco;Portugal
Model Y;46495;2025;4;blanco;Portugal
Model 3;46500;2024;16541;blanco;Portugal
Model 3;48205;2025;218;blanco;Portugal
Model Y;48885;2023;5268;blanco;Portugal
Model Y;49975;2025;4;blanco;Portugal
Model 3;49975;2024;0;blanco;Portugal
Model Y;50825;2024;6444;blanco;Portugal
Model Y;51325;2025;2;blanco;Portugal
Model Y;51515;2025;5;blanco;Portugal
Model Y;51655;2025;4;blanco;Portugal
Model Y;51655;2024;0;blanco;Portugal
Model Y;51655;2024;12;blanco;Portugal
Model 3;53775;2024;13;blanco;Portugal
Model Y;55455;2025;4;blanco;Portugal
Model 3;56155;2024;12;blanco;Portugal
Model 3;58475;2024;12;blanco;Portugal
Model 3;59675;2025;0;blanco;Portugal
Model 3;62275;2024;12;blanco;Portugal
Model S;95025;2024;7046;blanco;Portugal
Model S;98665;2023;1278;blanco;Portugal
Model S;115925;2024;17;blanco;Portugal
Model Y;42645;2024;9;azul;Portugal
Model Y;44715;2024;0;azul;Portugal
Model Y;45795;2024;0;azul;Portugal
Model 3;49325;2024;7458;azul;Portugal
Model Y;49995;2023;5887;azul;Portugal
Model Y;51275;2025;4;azul;Portugal
Model Y;52625;2025;0;azul;Portugal
Model Y;52635;2024;3709;azul;Portugal
Model Y;52755;2025;5;azul;Portugal
Model Y;53795;2024;0;azul;Portugal
Model Y;54035;2024;4;azul;Portugal
Model Y;54985;2024;4034;azul;Portugal
Model Y;56215;2024;0;azul;Portugal
Model 3;56245;2024;0;azul;Portugal
Model Y;57315;2024;12;azul;Portugal
Model Y;57345;2025;6;azul;Portugal
Model 3;57375;2024;0;azul;Portugal
Model Y;58455;2024;7;azul;Portugal
Model Y;59735;2024;9;azul;Portugal
Model 3;61175;2024;12;azul;Portugal
Model X;106445;2024;31;azul;Portugal
Model X;106845;2023;14816;azul;Portugal
Model X;115825;2023;116;azul;Portugal
Model 3;26500;2019;139637;negro;Portugal
Model 3;32900;2020;81783;negro;Portugal
Model 3;41955;2024;5398;negro;Portugal
Model Y;42200;2022;34918;negro;Portugal
Model 3;43475;2025;0;negro;Portugal
Model 3;43975;2025;0;negro;Portugal
Model 3;43975;2024;0;negro;Portugal
Model Y;44500;2022;31021;negro;Portugal
Model Y;44715;2025;5;negro;Portugal
Model Y;44715;2024;0;negro;Portugal
Model 3;45100;2022;27705;negro;Portugal
Model Y;45935;2024;7;negro;Portugal
Model 3;47275;2025;0;negro;Portugal
Model Y;47300;2022;46832;negro;Portugal
Model Y;48000;2022;37987;negro;Portugal
Model 3;48975;2025;0;negro;Portugal
Model 3;50215;2024;9383;negro;Portugal
Model Y;51275;2025;4;negro;Portugal
Model Y;51405;2024;2545;negro;Portugal
Model Y;52475;2025;2;negro;Portugal
Model Y;53575;2024;5;negro;Portugal
