modelo;descripcion;kilometraje;precio;autonomia;velocidad_max;time_veloc_max;color;año;pais
Model X;Model X, tracción a las cuatro ruedas;Cuentakilómetros con 5681 km;102.220 €;576;250;3,9;Negro Sólido;2024;España
Model X;Model X, tracción a las cuatro ruedas;Cuentakilómetros con 1405 km;102.640 €;576;250;3,9;Blanco Perla Multicapas;2024;España
Model X;Model X, tracción a las cuatro ruedas;104.370 €;104.370 €;576;250;3,9;Blanco Perla Multicapas;2024;España
Model X;Model X, tracción a las cuatro ruedas;Cuentakilómetros con 208 km;104.730 €;576;250;3,9;Pintura en color Gris Sigilo;2024;España
Model X;Plaid;Cuentakilómetros con 34 km;106.050 €;543;262;2,6;Blanco Perla Multicapas;2024;España
Model X;Model X, tracción a las cuatro ruedas;Cuentakilómetros con 3295 km;106.910 €;576;250;3,9;Blanco Perla Multicapas;2024;España
Model X;Model X, tracción a las cuatro ruedas;107.870 €;107.870 €;576;250;3,9;Color Plateado Lunar;2024;España
Model X;Model X, tracción a las cuatro ruedas;Cuentakilómetros con 23 km;109.540 €;576;250;3,9;Color Plateado Lunar;2024;España
Model X;Model X, tracción a las cuatro ruedas;Cuentakilómetros con 3206 km;109.710 €;576;250;3,9;Negro Sólido;2024;España
Model X;Model X, tracción a las cuatro ruedas;110.270 €;110.270 €;576;250;3,9;Blanco Perla Multicapas;2024;España
Model X;Plaid;Cuentakilómetros con 60 km;111.440 €;543;262;2,6;Blanco Perla Multicapas;2024;España
Model X;Plaid;Cuentakilómetros con 32 km;113.820 €;543;262;2,6;Pintura en color Gris Sigilo;2024;España
Model X;Model X, tracción a las cuatro ruedas;115.670 €;115.670 €;576;250;3,9;Blanco Perla Multicapas;2024;España
Model X;Model X, tracción a las cuatro ruedas;116.170 €;116.170 €;576;250;3,9;Negro Sólido;2024;España
Model X;Model X, tracción a las cuatro ruedas;118.070 €;118.070 €;576;250;3,9;Plata Medianoche Metalizado;2024;España
Model X;Model X, tracción a las cuatro ruedas;118.070 €;118.070 €;576;250;3,9;Blanco Perla Multicapas;2024;España
Model X;Model X, tracción a las cuatro ruedas;Cuentakilómetros con 92 km;118.070 €;576;250;3,9;Blanco Perla Multicapas;2024;España
Model X;Plaid;Cuentakilómetros con 0 km;118.720 €;543;262;2,6;Color Plateado Lunar;2024;España
Model X;Model X, tracción a las cuatro ruedas;119.670 €;119.670 €;576;250;3,9;Negro Sólido;2024;España
Model X;Plaid;Cuentakilómetros con 25 km;119.820 €;543;262;2,6;Ultra Rojo;2024;España
Model Y;Model Y Tracción trasera;Cuentakilómetros con 8864 km;42.140 €;455;217;6,9;Color Negro Sólido;2024;España
Model Y;Model Y Gran autonomía con tracción trasera;Cuentakilómetros con 18.609 km;42.150 €;600;217;5,9;Color Blanco Perla Multicapas;2024;España
Model Y;Model Y Tracción trasera;Cuentakilómetros con 5950 km;42.670 €;455;217;6,9;Color Negro Sólido;2024;España
Model Y;Model Y Tracción trasera;Cuentakilómetros con 2582 km;43.780 €;455;217;6,9;Pintura Plateado Mercurio;2024;España
Model Y;Model Y Tracción trasera;44.260 €;44.260 €;455;217;6,9;Color Blanco Perla Multicapas;2024;España
Model Y;Model Y Tracción trasera;Cuentakilómetros con 6314 km;44.390 €;430;217;6,9;Color Blanco Perla Multicapas;2024;España
Model Y;Model Y Tracción trasera;Cuentakilómetros con 5673 km;44.770 €;430;217;6,9;Color Negro Sólido;2024;España
Model Y;Model Y Tracción trasera;Cuentakilómetros con 31 km;45.090 €;455;217;6,9;Pintura Rojo Cereza Medianoche;2024;España
Model Y;Model Y Tracción trasera;45.310 €;45.310 €;455;217;6,9;Color Blanco Perla Multicapas;2024;España
Model Y;Model Y Gran autonomía con tracción trasera;Cuentakilómetros con 17.306 km;45.370 €;565;217;5,9;Pintura Plateado Mercurio;2024;España
Model Y;Model Y Gran autonomía con tracción trasera;Cuentakilómetros con 8712 km;45.370 €;565;217;5,9;Color Blanco Perla Multicapas;2024;España
