modelo,precio,matriculacion,kilometraje,color,pais
Tesla Model 3 Performance,60820,2024,0,negro,Spain
Tesla Model Y Performance,61500,2024,395,negro,Spain
Tesla Model Y Performance,61620,2024,6,negro,Spain
Tesla Model S,78800,2023,12410,negro,Spain
Tesla Model S,79900,2023,8276,negro,Spain
Tesla Model X,82500,2023,11765,negro,Spain
Tesla Model S,90520,2024,577,negro,Spain
Tesla Model X,100570,2024,4022,negro,Spain
Tesla Model S Plaid,101270,2024,3652,negro,Spain
Tesla Model X,102220,2024,5310,negro,Spain
Tesla Model S Plaid,102320,2023,1700,negro,Spain
Tesla Model X,109710,2024,3206,negro,Spain
Tesla Model X,116170,2023,0,negro,Spain
Tesla Model X,119670,2023,0,negro,Spain
Tesla Model 3,30800,2022,37725,plata,Spain
Tesla Model 3 Long Range AWD,33000,2021,63769,plata,Spain
Tesla Model X Plaid,85500,2023,21472,plata,Spain
Tesla Model X,118070,2023,0,plata,Spain
Tesla Model 3 Long Range AWD,32500,2021,79681,rojo,Spain
Tesla Model 3 Long Range AWD,34100,2021,57522,rojo,Spain
Tesla Model 3 Long Range AWD,34900,2021,26089,rojo,Spain
Tesla Model 3 Long Range AWD,37100,2022,30168,rojo,Spain
Tesla Model 3 Performance,43200,2023,18379,rojo,Spain
Tesla Model 3,38470,2025,0,rojo,Spain
Tesla Model 3,38520,2024,15,rojo,Spain
Tesla Model 3 Long Range AWD,44360,2024,2051,rojo,Spain
Tesla Model S,83600,2023,3269,rojo,Spain
Tesla Model X Plaid,119820,2024,25,rojo,Spain
Tesla Model 3,38300,2024,3818,gris,Spain
Tesla Model 3 Long Range AWD,45000,2024,15795,gris,Spain
Tesla Model 3 Long Range AWD,46770,2025,10,gris,Spain
Tesla Model 3 Long Range AWD,48120,2024,13,gris,Spain
Tesla Model 3 Long Range AWD,48370,2025,15,gris,Spain
Tesla Model 3 Long Range AWD,49420,2024,33,gris,Spain
Tesla Model 3 Performance,54860,2024,3325,gris,Spain
Tesla Model 3 Performance,56020,2024,13,gris,Spain
Tesla Model 3 Performance,60820,2024,0,gris,Spain
Tesla Model S,91080,2024,1151,gris,Spain
Tesla Model S,91790,2024,28,gris,Spain
Tesla Model S,102330,2024,0,gris,Spain
Tesla Model X,104730,2024,208,gris,Spain
Tesla Model X Plaid,113820,2024,33,gris,Spain
Tesla Model S Plaid,116660,2024,20,gris,Spain
Tesla Model 3 Long Range AWD,35900,2021,40421,blanco,Portugal
Tesla Model Y Standard Range,41475,2025,0,blanco,Portugal
Tesla Model Y Standard Range,42555,2025,5,blanco,Portugal
Tesla Model Y Long Range AWD,42600,2022,35338,blanco,Portugal
Tesla Model Y Standard Range,42605,2024,3749,blanco,Portugal
Tesla Model Y Long Range AWD,42700,2022,54383,blanco,Portugal
Tesla Model Y Long Range AWD,43800,2022,31967,blanco,Portugal
Tesla Model Y Long Range AWD,43800,2022,32157,blanco,Portugal
Tesla Model Y Long Range AWD,45600,2022,28496,blanco,Portugal
Tesla Model Y Long Range AWD,45600,2022,28755,blanco,Portugal
Tesla Model 3 Long Range RWD,45975,2025,10,blanco,Portugal
Tesla Model Y Standard Range,46495,2025,4,blanco,Portugal
Tesla Model 3 Long Range AWD,46500,2024,16541,blanco,Portugal
Tesla Model 3 Long Range RWD,48205,2025,218,blanco,Portugal
Tesla Model Y Long Range AWD,48885,2023,5268,blanco,Portugal
Tesla Model Y Long Range RWD,49975,2025,4,blanco,Portugal
Tesla Model 3 Long Range AWD,49975,2024,0,blanco,Portugal
Tesla Model Y Long Range AWD,50825,2024,6444,blanco,Portugal
Tesla Model Y Long Range RWD,51325,2025,2,blanco,Portugal
Tesla Model Y Long Range AWD,51515,2025,5,blanco,Portugal
Tesla Model Y Long Range AWD,51655,2025,4,blanco,Portugal
Tesla Model Y Long Range AWD,51655,2024,0,blanco,Portugal
Tesla Model Y Long Range AWD,51655,2024,12,blanco,Portugal
Tesla Model 3 Long Range AWD,53775,2024,13,blanco,Portugal
Tesla Model Y Long Range AWD,55455,2025,4,blanco,Portugal
Tesla Model 3 Performance,56155,2024,12,blanco,Portugal
Tesla Model 3 Performance,58475,2024,12,blanco,Portugal
Tesla Model 3 Performance,59675,2025,0,blanco,Portugal
Tesla Model 3 Performance,62275,2024,12,blanco,Portugal
Tesla Model S,95025,2024,7046,blanco,Portugal
Tesla Model S,98665,2023,1278,blanco,Portugal
Tesla Model S Plaid,115925,2024,17,blanco,Portugal
Tesla Model Y Standard Range,42645,2024,9,azul,Portugal
Tesla Model Y Standard Range,44715,2024,0,azul,Portugal
Tesla Model Y Standard Range,45795,2024,0,azul,Portugal
Tesla Model 3 Long Range AWD,49325,2024,7458,azul,Portugal
Tesla Model Y Long Range AWD,49995,2023,5887,azul,Portugal
Tesla Model Y Long Range RWD,51275,2025,4,azul,Portugal
Tesla Model Y Long Range RWD,52625,2025,0,azul,Portugal
Tesla Model Y Long Range AWD,52635,2024,3709,azul,Portugal
Tesla Model Y Long Range AWD,52755,2025,5,azul,Portugal
Tesla Model Y Long Range AWD,53795,2024,0,azul,Portugal
Tesla Model Y Long Range AWD,54035,2024,4,azul,Portugal
Tesla Model Y Long Range AWD,54985,2024,4034,azul,Portugal
Tesla Model Y Long Range AWD,56215,2024,0,azul,Portugal
Tesla Model 3 Performance,56245,2024,0,azul,Portugal
Tesla Model Y Performance,57315,2024,12,azul,Portugal
Tesla Model Y Long Range AWD,57345,2025,6,azul,Portugal
Tesla Model 3 Performance,57375,2024,0,azul,Portugal
Tesla Model Y Performance,58455,2024,7,azul,Portugal
Tesla Model Y Performance,59735,2024,9,azul,Portugal
Tesla Model 3 Performance,61175,2024,12,azul,Portugal
Tesla Model X,106445,2024,31,azul,Portugal
Tesla Model X,106845,2023,14816,azul,Portugal
Tesla Model X,115825,2023,116,azul,Portugal
Tesla Model 3 Long Range AWD,26500,2019,139637,negro,Portugal
Tesla Model 3 Long Range AWD,32900,2020,81783,negro,Portugal
Tesla Model 3,41955,2024,5398,negro,Portugal
Tesla Model Y Long Range AWD,42200,2022,34918,negro,Portugal
Tesla Model 3,43475,2025,0,negro,Portugal
Tesla Model 3,43975,2025,0,negro,Portugal
Tesla Model 3,43975,2024,0,negro,Portugal
Tesla Model Y Long Range AWD,44500,2022,31021,negro,Portugal
Tesla Model Y Standard Range,44715,2025,5,negro,Portugal
Tesla Model Y Standard Range,44715,2024,0,negro,Portugal
Tesla Model 3 Performance,45100,2022,27705,negro,Portugal
Tesla Model Y Standard Range,45935,2024,7,negro,Portugal
Tesla Model 3 Long Range RWD,47275,2025,0,negro,Portugal
Tesla Model Y Performance,47300,2022,46832,negro,Portugal
Tesla Model Y Performance,48000,2022,37987,negro,Portugal
Tesla Model 3 Long Range RWD,48975,2025,0,negro,Portugal
Tesla Model 3 Long Range AWD,50215,2024,9383,negro,Portugal
Tesla Model Y Long Range RWD,51275,2025,4,negro,Portugal
Tesla Model Y Long Range RWD,51405,2024,2545,negro,Portugal
Tesla Model Y Long Range RWD,52475,2025,2,negro,Portugal
Tesla Model Y Long Range RWD,53575,2024,5,negro,Portugal
Tesla Model 3 Performance,57375,2024,13,negro,Portugal
Tesla Model Y Long Range AWD,58735,2025,4,negro,Portugal
Tesla Model 3 Performance,59775,2024,0,negro,Portugal
Tesla Model Y Performance,61475,2025,4,negro,Portugal
Tesla Model S,103525,2023,0,negro,Portugal
Tesla Model X,108075,2023,34,negro,Portugal
Tesla Model X,122025,2023,25,negro,Portugal
Tesla Model Y Long Range AWD,42300,2022,36306,plata,Portugal
Tesla Model 3 Long Range AWD,43900,2023,14886,plata,Portugal
Tesla Model 3 Performance,46600,2022,19834,plata,Portugal
Tesla Model X P100D,58000,2019,64984,plata,Portugal
Tesla Model 3,44675,2025,10,rojo,Portugal
Tesla Model 3 Long Range AWD,52715,2024,12,rojo,Portugal
Tesla Model 3 Performance,58035,2024,0,rojo,Portugal
Tesla Model 3 Performance,60475,2024,0,rojo,Portugal
Tesla Model S,96075,2024,23,rojo,Portugal
Tesla Model S Plaid,115745,2024,3393,rojo,Portugal
Tesla Model X Plaid,116205,2024,26,rojo,Portugal
Tesla Model X Plaid,126525,2024,31,rojo,Portugal
Tesla Model 3,43475,2025,0,gris,Portugal
Tesla Model 3 Long Range AWD,51275,2024,0,gris,Portugal
Tesla Model 3 Long Range AWD,28200,2020,94337,blanco,France
Tesla Model 3 Long Range AWD,28900,2020,68845,blanco,France
Tesla Model 3 Long Range AWD,30600,2021,112637,blanco,France
Tesla Model 3 Long Range AWD,30800,2020,53808,blanco,France
Tesla Model 3 Long Range AWD,30700,2020,52917,blanco,France
Tesla Model 3 Standard Range Plus,31000,2021,57691,blanco,France
Tesla Model 3 Performance,31000,2019,63570,blanco,France
Tesla Model 3 Long Range AWD,31100,2020,49251,blanco,France
Tesla Model 3 Standard Range Plus,31200,2021,46308,blanco,France
Tesla Model 3 Long Range AWD,31300,2021,79887,blanco,France
Tesla Model 3 Performance,31800,2020,61733,blanco,France
Tesla Model 3 Long Range AWD,32000,2021,76126,blanco,France
Tesla Model 3 Long Range AWD,31800,2020,55927,blanco,France
Tesla Model 3 Performance,32200,2020,44365,blanco,France
Tesla Model 3 Long Range AWD,33300,2020,65224,blanco,France
Tesla Model 3 Standard Range Plus,32800,2021,37680,blanco,France
Tesla Model 3 Standard Range Plus,33900,2021,24781,blanco,France
Tesla Model 3 Performance,34700,2020,40623,blanco,France
Tesla Model 3 Long Range AWD,39400,2021,31909,blanco,France
Tesla Model 3,39990,2025,10,blanco,France
Tesla Model Y Standard Range,40990,2025,5,blanco,France
Tesla Model Y Standard Range,40990,2025,226,blanco,France
Tesla Model Y Standard Range,40990,2024,9,blanco,France
Tesla Model 3,41180,2025,0,blanco,France
Tesla Model 3,41180,2024,0,blanco,France
Tesla Model 3,41340,2025,0,blanco,France
Tesla Model Y Standard Range,42180,2025,5,blanco,France
Tesla Model 3,42530,2025,0,blanco,France
Tesla Model 3,42530,2024,0,blanco,France
Tesla Model Y Standard Range,43090,2024,10,blanco,France
Tesla Model S 100D,43400,2019,96688,blanco,France
Tesla Model Y Standard Range,44280,2024,7,blanco,France
Tesla Model 3 Long Range RWD,44990,2025,10,blanco,France
Tesla Model 3,45140,2025,13,blanco,France
Tesla Model 3 Long Range AWD,45380,2024,9561,blanco,France
Tesla Model Y Performance,46800,2022,20423,blanco,France
Tesla Model Y Long Range RWD,46990,2025,0,blanco,France
Tesla Model 3 Long Range AWD,47240,2024,6399,blanco,France
Tesla Model 3 Long Range AWD,47490,2024,5741,blanco,France
Tesla Model 3 Long Range AWD,47540,2024,2337,blanco,France
Tesla Model Y Long Range AWD,47800,2025,5,blanco,France
Tesla Model Y Long Range AWD,47990,2025,0,blanco,France
Tesla Model Y Long Range AWD,47990,2024,5,blanco,France
Tesla Model 3 Long Range AWD,48620,2024,15,blanco,France
Tesla Model Y Long Range AWD,49180,2025,0,blanco,France
Tesla Model Y Long Range AWD,49180,2024,0,blanco,France
Tesla Model Y Long Range AWD,49180,2024,6,blanco,France
Tesla Model Y Long Range AWD,49340,2025,0,blanco,France
