modelo,precio,kilometraje,matriculacion,motor,color
Model S 100D,31.990 €,24.000,2015,Eléctrico,azul
Model S 100D,33.999 €,39.000,2023,Eléctrico,azul
Model S 100D,48.900 €,96.000,2019,Eléctrico,azul
Model S 100D,31.500 €,49.000,2021,Eléctrico,azul
Model S 100D,38.890 €,89.831,2019,Eléctrico,azul
Model S 100D,28.490 €,47.479,2020,Eléctrico,azul
Model S 100D,21.500 €,129.446,2020,Eléctrico,azul
Model S 100D,28.990 €,39.413,2019,Eléctrico,azul
Model S 100D,35.475 €,63.000,2021,Eléctrico,azul
Model S 100D,49.995 €,25.700,2023,Eléctrico,azul
Model S 100D,26.940 €,124.839,2019,Eléctrico,azul
Model S 100D,34.900 €,240.000,2017,Eléctrico,azul
Model S 100D,31.990 €,24.000,2015,Eléctrico,azul
Model S 100D,35.000 €,220.000,2014,Eléctrico,azul
Model S 100D,42.900 €,109.900,2020,Eléctrico,azul
Model S 100D,31.990 €,60.000,2021,Eléctrico,azul
Model S 100D,42.500 €,2.490,2024,Eléctrico,azul
Model 3 RWD,27.950 €,57.000,2022,Eléctrico,azul
Model 3 RWD,29.700 €,21.318,2020,Eléctrico,azul
Model 3 RWD,37.900 €,74.000,2017,Eléctrico,azul
Model 3 RWD,27.450 €,93.000,2021,Eléctrico,azul
Model 3 RWD,27.850 €,65.000,2022,Eléctrico,azul
Model 3 RWD,27.450 €,93.000,2021,Eléctrico,azul
Model 3 RWD,54.900 €,58.000,2020,Eléctrico,azul
Model 3 RWD,25.000 €,137.183,2019,Eléctrico,azul
Model 3 RWD,27.850 €,65.000,2022,Eléctrico,azul
Model 3 RWD,27.950 €,57.000,2022,Eléctrico,azul
Model 3 RWD,49.999 €,35.000,2020,Eléctrico,azul
Model 3 RWD,37.000 €,43.000,2021,Eléctrico,azul
Model 3 RWD,24.995 €,78.713,2021,Eléctrico,azul
Model 3 RWD,25.990 €,63.000,2022,Eléctrico,azul
Model 3 Long-Range Dual Motor AWD,28.990 €,57.000,2021,Eléctrico,blanco
Model 3 Long-Range Dual Motor AWD,44.800 €,170.000,2019,Eléctrico,blanco
Model 3 Long-Range Dual Motor AWD,62.490 €,34.162,2020,Eléctrico,blanco
Model 3 Long-Range Dual Motor AWD,60.900 €,52.000,2020,Eléctrico,blanco
Model 3 Long-Range Dual Motor AWD,26.900 €,78.000,2019,Eléctrico,blanco
Model 3 Long-Range Dual Motor AWD,33.100 €,33.740,2019,Eléctrico,blanco
Model 3 Long-Range Dual Motor AWD,40.500 €,334,2024,Eléctrico,blanco
Model 3 Long-Range Dual Motor AWD,35.500 €,12.122,2024,Eléctrico,blanco
Model 3 Long-Range Dual Motor AWD,32.990 €,63.776,2021,Eléctrico,blanco
Model 3 Long-Range Dual Motor AWD,26.999 €,71.000,2019,Eléctrico,blanco
Model 3 Long-Range Dual Motor AWD,79.990 €,18.000,2021,Eléctrico,blanco
Model 3 Long-Range Dual Motor AWD,43.990 €,88.024,2016,Eléctrico,blanco
Model 3 Long-Range Dual Motor AWD,28.490 €,84.188,2020,Eléctrico,blanco
Model 3 Long-Range Dual Motor AWD,31.490 €,44.998,2023,Eléctrico,blanco
Model 3 Long-Range Dual Motor AWD,54.990 €,85.000,2019,Eléctrico,blanco
Model 3 Long-Range Dual Motor AWD,89.900 €,16.000,2023,Eléctrico,blanco
Model 3 Long-Range Dual Motor AWD,33.900 €,77.000,2020,Eléctrico,blanco
Model S P100D,49.700 €,56.000,2017,Eléctrico,blanco
Model S P100D,39.900 €,8.900,2022,Eléctrico,blanco
Model S P100D,52.900 €,64.500,2019,Eléctrico,blanco
Model S P100D,27.990 €,53.000,2019,Eléctrico,blanco
Model S P100D,32.990 €,36.000,2021,Eléctrico,blanco
Model S P100D,47.900 €,52.000,2017,Eléctrico,blanco
Model S P100D,27.490 €,27.277,2020,Eléctrico,blanco
Model S P100D,44.990 €,7.895,2024,Eléctrico,blanco
Model S P100D,28.990 €,169.800,2019,Eléctrico,blanco
Model S P100D,33.990 €,60.000,2022,Eléctrico,blanco
